"ID","Player","Team","Position","RkOv","Status","Roster Status","Age","FPts","FP/G","Ros","+/-","IP","ERA","K","W","ER","H","BB","SV","HLD","QS","HB","GP"
"*06op3*","Wei-En Lin","ATH","SP,RP","5611","Coop","Not On Team","20","0","0","25%","0%","0","0.00","0","0","0","0","0","0","0","0","0","0"
"*05acp*","Justin Martinez","ARI","RP","6029","GoldTY","Inj Res","24","0","0","25%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*05yb1*","Drew Thorpe","CHW","SP","9186","Greenbet","Inj Res","25","0","0","21%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*03yso*","A.J. Puk","ARI","RP","7624","Jpanner","Inj Res","31","0","0","21%","-2%","0","0","0","0","0","0","0","0","0","0","0","0"
"*067xg*","Nolan Perry","TOR","SP","7401","kyfaess","Minors","22","0","0","19%","0%","0","0.00","0","0","0","0","0","0","0","0","0","0"
"*06f14*","Ethan Pecko","HOU","SP","7235","joeybats","Minors","23","0","0","15%","0%","0","0.00","0","0","0","0","0","0","0","0","0","0"
"*06qng*","Tyson Hardin","MIL","SP","4527","Hutch","Minors","24","0","0","13%","0%","0","0.00","0","0","0","0","0","0","0","0","0","0"
"*05xq2*","Mitch Bratt","ARI","SP","2007","CLANK","Minors","22","0","0","13%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*03qqf*","Alexis Diaz","TEX","RP","3244","Greenbet","Minors","29","0","0","6%","0%","0","0.00","0","0","0","0","0","0","0","0","0","0"
"*05r3f*","Ryan Cusick","PHI","SP,RP","2965","Greenbet","Minors","26","0","0","2%","0%","0","0.00","0","0","0","0","0","0","0","0","0","0"
"*061mh*","Robby Snelling","MIA","SP","10055","Hutch","Inj Res","22","-1","-1","57%","-1%","5","5.40","2","0","3","5","4","0","0","0","0","1"
"*02bqr*","Blake Snell","LAD","SP","10096","JMerkle","Inj Res","33","-6","-6","90%","0%","3","12.00","5","0","4","6","2","0","0","0","0","1"
"*05r3i*","Andrew Painter","PHI","SP","10095","Jpanner","Reserve","23","-6","-0.43","70%","-3%","65","7.06","53","1","51","84","24","0","0","2","3","14"
"*04a2t*","Kodai Senga","NYM","SP","10132","Coop","Reserve","33","-15","-2.5","61%","0%","24","9.00","28","0","24","28","17","0","0","1","1","6"
