"ID","Player","Team","Position","RkOv","Status","Age","FPts","FP/G","Ros","+/-","AB","R","H","1B","2B","3B","HR","RBI","BB","SO","SB","CS","HBP","GIDP","GP"
"*0406n*","Andres Chaparro","WSH","1B","665","FA","27","62.5","1.84","7%","+3%","65","14","14","7","3","0","4","18","12","19","0","0","1","2","34"
"*0513l*","Brenton Doyle","COL","OF","671","FA","28","62","1.44","38%","0%","111","21","23","18","4","0","1","4","11","40","9","2","0","0","43"
"*04y9i*","Tyler Callihan","PIT","OF","670","FA","26","62","1.82","10%","-1%","83","13","20","11","4","2","3","15","9","30","1","0","1","0","34"
"*03fhx*","Elias Diaz","TEX","C","673","FA","35","61.5","1.54","4%","0%","97","10","25","15","6","0","4","16","2","19","0","0","0","0","40"
"*04emt*","Jake Meyers","HOU","OF","674","FA","30","61","1.17","14%","-1%","136","14","28","19","6","0","3","11","10","30","1","2","1","3","52"
"*05y4m*","Tim Tawa","ARI","2B,OF","680","FA","27","60.5","1.38","13%","+6%","96","10","20","10","6","0","4","16","10","25","2","3","0","2","44"
"*05145*","Darell Hernaiz","ATH","SS","679","FA","24","60.5","1.29","6%","0%","118","12","28","24","3","0","1","7","13","23","3","0","1","1","47"
"*05m1b*","Denzer Guzman","LAA","3B,SS","684","FA","22","60","1.88","22%","-3%","118","11","29","21","4","0","4","14","7","34","1","1","0","1","32"
"*04ni4*","Leo Jimenez","MIA","2B,3B","685","FA","25","60","1.33","3%","0%","117","14","25","19","4","0","2","9","11","26","1","0","6","4","45"
"*04psu*","James Outman","DET","OF","689","FA","29","59.5","0.77","5%","0%","137","19","21","12","4","2","3","13","10","63","6","2","1","0","77"
"*0515f*","Drew Millas","WSH","C","688","FA","28","59.5","1.19","2%","0%","130","18","24","18","4","0","2","11","14","37","0","1","3","1","50"
"*04pkq*","Anthony Seigler","BOS","2B,3B","694","FA","27","59","2.27","23%","-1%","90","13","22","13","7","0","2","7","9","18","2","0","1","1","26"
"*01uc9*","Nick Castellanos","(N/A)","OF","692","FA","34","59","1.51","17%","0%","115","9","22","13","5","0","4","20","5","34","2","0","0","1","39"
"*04pwl*","Hunter Feduccia","TB","C","693","FA","29","59","1.09","4%","0%","126","13","29","21","5","1","2","11","14","42","0","0","1","1","54"
"*041pq*","Taylor Trammell","HOU","OF","695","FA","28","59","1.28","3%","0%","118","14","27","18","5","1","3","12","9","44","1","0","1","0","46"
"*0514k*","Pedro Pages","STL","C","697","FA","27","58.5","1.03","9%","0%","148","13","31","21","6","0","4","11","6","43","2","0","2","5","57"
"*05yfl*","Joey Loperfido","HOU","OF","699","FA","27","57.5","1.47","9%","-1%","102","13","22","13","7","1","1","12","14","31","1","1","1","2","39"
"*04prc*","Brandon Lockridge","MIL","OF","698","FA","29","57.5","2.05","8%","0%","85","9","25","21","4","0","0","12","10","25","5","0","0","0","28"
"*04o2x*","Davis Schneider","TOR","OF","702","FA","27","56.5","1.15","6%","0%","98","16","15","7","5","0","3","12","18","39","1","0","0","1","49"
"*04q24*","Max Schuemann","NYY","2B,OF","703","FA","29","56.5","1.66","4%","0%","57","17","13","6","5","0","2","6","11","17","3","2","3","0","34"
"*048tn*","Carlos Narvaez","BOS","C","708","FA","27","55.5","0.99","17%","0%","160","17","32","23","6","0","3","9","12","57","1","0","3","6","56"
"*052ru*","Josh Smith","TEX","2B,SS","713","FA","28","55","1.38","23%","-2%","122","8","28","23","3","1","1","8","14","26","2","1","1","2","40"
"*031el*","Danny Jansen","TEX","C","712","FA","31","55","1.34","10%","0%","123","11","21","11","6","1","3","12","13","40","1","1","5","5","41"
"*04mn4*","Joey Bart","ATL","C","715","FA","29","54.5","1.51","7%","0%","93","12","20","13","3","0","4","13","4","29","0","0","5","0","36"
"*05un2*","Edgar Quero","CHW","C","718","FA","23","53.5","0.97","20%","0%","150","12","28","25","1","0","2","15","12","41","1","0","3","5","55"
"*04pmw*","Alek Thomas","LAD","OF","722","FA","26","52.5","1.88","13%","0%","94","12","17","6","9","0","2","10","3","23","4","0","2","3","28"
