"ID","Player","Team","Position","RkOv","Status","Roster Status","Age","FPts","FP/G","Ros","+/-"
"*04pmb*","Kris Bubic","KC","SP","357","Sasso","Inj Res","28","94","10.44","91%","-1%"
"*05xtz*","Dalton Rushing","LAD","C","361","CLANK","Active","25","94","2.47","68%","+4%"
"*03zcy*","Mark Vientos","NYM","1B,3B","364","Greenbet","Reserve","26","94","1.65","45%","-5%"
"*05rko*","Brandon Valenzuela","TOR","C","363","Hutch","Not On Team","25","94","2.04","31%","+2%"
"*05ydo*","Juan Morillo","ARI","RP","365","kyfaess","Reserve","27","94","3.24","30%","-3%"
"*05jpd*","Ian Seymour","TB","SP,RP","369","JMerkle","Active","27","93","3.44","53%","-5%"
"*04q05*","Alex Vesia","LAD","RP","372","kyfaess","Reserve","30","93","3.21","47%","-2%"
"*03ann*","Jeff Hoffman","TOR","RP","376","GoldTY","Reserve","33","92","2.88","69%","-4%"
"*064zm*","Didier Fuentes","ATL","SP,RP","377","Sethmc44","Reserve","20","92","4.84","53%","0%"
"*04y97*","Kyle Stowers","MIA","OF","382","zyoung51","Reserve","28","91.5","1.99","86%","-2%"
"*04pvu*","Stephen Kolek","KC","SP","384","GoldTY","Active","29","91","13","56%","-1%"
"*02i2q*","Carlos Correa","HOU","3B,SS","383","CLANK","Inj Res","31","91","2.76","54%","-1%"
"*06apx*","Trey Yesavage","TOR","SP","387","Sasso","Active","22","90","11.25","98%","0%"
"*041x9*","Graham Ashcraft","CIN","RP","390","Sethmc44","Inj Res","28","89","3.42","26%","-2%"
"*03ab0*","Luis Severino","ATH","SP","392","CLANK","Reserve","32","89","7.42","48%","-4%"
"*05vy6*","Bryce Miller","SEA","SP","395","Hutch","Active","27","88","17.6","91%","0%"
"*0311c*","Devin Williams","NYM","RP","400","KRetiree","Active","31","86","3.44","93%","-1%"
"*04ali*","Edward Cabrera","CHC","SP","410","joeybats","Inj Res","28","83","6.92","88%","-5%"
"*031bl*","Kyle Finnegan","DET","RP","412","Jpanner","Active","34","83","2.77","37%","-3%"
"*04eqa*","Garrett Whitlock","BOS","RP","413","Sasso","Active","30","83","4.15","52%","-1%"
"*04eos*","Joey Cantillo","CLE","SP,RP","415","Greenbet","Active","26","82","5.86","74%","-8%"
"*05u96*","Bryce Eldridge","SF","UT","423","KRetiree","Reserve","21","80","2.86","77%","+3%"
"*05y5d*","Bradgley Rodriguez","SD","RP","426","zyoung51","Active","22","79","2.82","15%","-1%"
"*05mre*","Spencer Strider","ATL","SP","428","KRetiree","Active","27","79","11.29","99%","0%"
"*02btf*","Mookie Betts","LAD","SS","430","zyoung51","Active","33","78.5","2.31","99%","0%"
"*05yj0*","Chase Dollander","COL","SP,RP","435","Hutch","Inj Res","24","77","7.7","60%","-1%"
"*05xpq*","Christian Scott","NYM","SP","442","GoldTY","Active","26","75","8.33","63%","+2%"
"*05138*","Matt Brash","SEA","RP","444","CLANK","Reserve","28","75","3.75","42%","-1%"
"*04prt*","Lawrence Butler","ATH","OF","450","Greenbet","Reserve","25","74","1.21","58%","-4%"
"*04my4*","Cal Raleigh","SEA","C","455","KRetiree","Reserve","29","73.5","1.75","99%","0%"
"*02c2r*","Carlos Rodon","NYY","SP","458","JMerkle","Active","33","73","12.17","95%","0%"
"*02jh6*","Eugenio Suarez","CIN","3B","460","joeybats","Reserve","34","72.5","1.73","90%","-3%"
"*041am*","Lucas Erceg","KC","RP","462","CLANK","Active","31","72","2.67","53%","-11%"
"*05xty*","Dylan Beavers","BAL","OF","468","Coop","Inj Res","24","70","2.12","52%","0%"
"*02bzn*","Colin Rea","CHC","SP","472","Kipp","Active","35","70","5","44%","-3%"
"*04ehz*","Jeremiah Estrada","SD","RP","475","Hutch","Inj Res","27","69","3.29","44%","-4%"
"*041qr*","Aaron Civale","ATH","SP","477","JMerkle","Inj Res","30","68","6.18","36%","-2%"
"*04z6m*","Agustin Ramirez","MIA","C","481","CLANK","Minors","24","68","2.19","66%","-1%"
"*05rik*","Bubba Chandler","PIT","SP","489","Jpanner","Reserve","23","67","5.15","88%","-2%"
"*04aeb*","Royce Lewis","MIN","3B","492","Jpanner","Reserve","27","66","1.83","65%","-1%"
"*0518g*","Trevor McDonald","SF","SP","493","Jpanner","Active","25","66","9.43","46%","-6%"
