name,mlb_id,recent_games,recent_fpts,recent_fpg,group
Brett Bateman,703520,24,64.5,2.69,hitting
Tim Tawa,694374,27,64.5,2.39,hitting
Freddie Freeman,518692,25,64.0,2.56,hitting
Jackson Merrill,701538,26,64.0,2.46,hitting
Aroldis Chapman,547973,9,64.0,7.11,pitching
Mike Trout,545361,27,63.0,2.33,hitting
Matt McLain,680574,28,63.0,2.25,hitting
Hunter Gaddis,683769,13,63.0,4.85,pitching
Jacob Latz,656641,9,63.0,7.0,pitching
Gerrit Cole,543037,5,63.0,12.6,pitching
Carson Benge,701807,26,62.5,2.4,hitting
Tyler Stephenson,663886,26,62.5,2.4,hitting
Dane Myers,667472,25,62.0,2.48,hitting
Rafael Flores Jr.,804668,21,62.0,2.95,hitting
Bradgley Rodriguez,699134,12,62.0,5.17,pitching
Bryan Abreu,650556,14,62.0,4.43,pitching
David Bednar,670280,10,62.0,6.2,pitching
Hunter Brown,686613,5,62.0,12.4,pitching
Nathan Lukes,664770,26,61.0,2.35,hitting
Jonathan Aranda,666018,26,60.5,2.33,hitting
Joey Ortiz,687401,24,60.0,2.5,hitting
Caleb Durbin,702332,28,60.0,2.14,hitting
Nolan Arenado,571448,24,60.0,2.5,hitting
Didier Fuentes,800311,11,60.0,5.45,pitching
Brent Headrick,687396,13,60.0,4.62,pitching
Chase Burns,695505,5,60.0,12.0,pitching
Jake Bennett,687562,4,60.0,15.0,pitching
Christian Yelich,592885,24,59.5,2.48,hitting
Trent Grisham,663757,23,59.5,2.59,hitting
Luis García Jr.,671277,25,59.0,2.36,hitting
Christian Koss,683766,28,59.0,2.11,hitting
Hagen Smith,696146,9,59.0,6.56,pitching
Nate Pearson,663878,12,59.0,4.92,pitching
Edgardo Henriquez,683618,13,59.0,4.54,pitching
Kodai Senga,673540,12,59.0,4.92,pitching
Adrian Morejon,670970,14,59.0,4.21,pitching
Spencer Miles,693686,11,59.0,5.36,pitching
Jacob deGrom,594798,5,59.0,11.8,pitching
Griffin Conine,665052,26,58.5,2.25,hitting
Chase DeLauter,800050,19,58.0,3.05,hitting
Connor Norby,681393,25,58.0,2.32,hitting
Pedro Ramírez,699393,22,58.0,2.64,hitting
Braden Montgomery,695731,26,58.0,2.23,hitting
A.J. Minter,621345,11,58.0,5.27,pitching
Aaron Ashby,676879,14,58.0,4.14,pitching
Luis Medina,665622,11,58.0,5.27,pitching
Tyler Wells,669330,10,58.0,5.8,pitching
Héctor Rodríguez,699302,22,57.5,2.61,hitting
Vaughn Grissom,687093,26,57.5,2.21,hitting
Richie Palacios,680700,23,57.5,2.5,hitting
Brayan Rocchio,677587,23,57.0,2.48,hitting
Erik Sabrowski,681870,10,57.0,5.7,pitching
AJ Blubaugh,805123,12,57.0,4.75,pitching
Tanner Scott,656945,13,57.0,4.38,pitching
Foster Griffin,656492,5,57.0,11.4,pitching
Kaelen Culpepper,701785,25,56.5,2.26,hitting
Brandon Lowe,664040,24,56.5,2.35,hitting
Geraldo Perdomo,672695,26,56.5,2.17,hitting
Dylan Crews,686611,26,56.5,2.17,hitting
José Ramírez,608070,24,56.5,2.35,hitting
Xander Bogaerts,593428,25,56.5,2.26,hitting
Gleyber Torres,650402,25,56.0,2.24,hitting
Jared Young,676724,24,56.0,2.33,hitting
Nathan Church,701675,27,56.0,2.07,hitting
Jonathan Loáisiga,642528,11,56.0,5.09,pitching
Raisel Iglesias,628452,10,56.0,5.6,pitching
Hogan Harris,663687,11,56.0,5.09,pitching
Sean Newcomb,656794,9,56.0,6.22,pitching
Brandon Pfaadt,694297,5,56.0,11.2,pitching
Kevin Gausman,592332,5,56.0,11.2,pitching
Michael Busch,683737,26,55.5,2.13,hitting
Brock Burke,656271,12,55.0,4.58,pitching
Trent Harris,805345,12,55.0,4.58,pitching
Drew Gilbert,687551,24,54.5,2.27,hitting
Brice Turang,668930,23,54.5,2.37,hitting
Andrés Chaparro,665953,22,54.0,2.45,hitting
Donovan Walton,622268,24,54.0,2.25,hitting
Jhoan Duran,661395,10,54.0,5.4,pitching
Shane Bieber,669456,2,54.0,27.0,pitching
Janson Junk,676083,6,54.0,9.0,pitching
Nick Martinez,607259,5,54.0,10.8,pitching
Liam Hicks,689414,22,53.5,2.43,hitting
David Hamilton,666152,22,53.5,2.43,hitting
Jose Altuve,514888,24,53.5,2.23,hitting
